0,0
0.02,0.002
0.04,0.004
0.06,0.006
0.08,0.008
0.1,0.01
0.12,0.012
0.14,0.014
0.16,0.016
0.18,0.018
0.2,0.02
0.22,0.022
0.24,0.024
0.26,0.026
0.28,0.028
0.3,0.03
0.32,0.032
0.34,0.034
0.36,0.036
0.38,0.038
0.4,0.04
0.42,0.042
0.44,0.044
0.46,0.046
0.48,0.048
0.5,0.05
0.52,0.052
0.54,0.054
0.56,0.056
0.58,0.058
0.6,0.06
0.62,0.062
0.64,0.064
0.66,0.066
0.68,0.068
0.7,0.07
0.72,0.072
0.74,0.074
0.76,0.076
0.78,0.078
0.8,0.08
0.82,0.082
0.84,0.084
0.86,0.086
0.88,0.088
0.9,0.09
0.92,0.092
0.94,0.094
0.96,0.096
0.98,0.098
1,0.1
1.02,0.098
1.04,0.096
1.06,0.094
1.08,0.092
1.1,0.09
1.12,0.088
1.14,0.086
1.16,0.084
1.18,0.082
1.2,0.08
1.22,0.078
1.24,0.076
1.26,0.074
1.28,0.072
1.3,0.07
1.32,0.068
1.34,0.066
1.36,0.064
1.38,0.062
1.4,0.06
1.42,0.058
1.44,0.056
1.46,0.054
1.48,0.052
1.5,0.05
1.52,0.048
1.54,0.046
1.56,0.044
1.58,0.042
1.6,0.04
1.62,0.038
1.64,0.036
1.66,0.034
1.68,0.032
1.7,0.03
1.72,0.028
1.74,0.026
1.76,0.024
1.78,0.022
1.8,0.02
1.82,0.018
1.84,0.016
1.86,0.014
1.88,0.012
1.9,0.01
1.92,0.008
1.94,0.00600001
1.96,0.00400001
1.98,0.00200001
2,0
